id,question,options,answer
470f20ff-2f48-44a6-a2ad-241df10ec87d-103644,অপবর্তন এক বিশেষ ধরনের— ,['সমবর্তন' 'প্রতিফলন' 'ব্যাতিচার' 'প্রতিসরণ'],C
c08f0631-b9ac-4c46-a232-a08476e15f86-128154,50 kg ভরের কোনো বস্তুর ভরবেগ 200 kgms-1 হলে বস্তুর গতিশক্তি হবে-,['200 J' '300 J' '400 J' '500 J'],C
8198bcf6-2fd5-411f-be00-b925f6190b8b-119159,একটি প্রিজমের প্রিজম কোণ 60০ ও নূন্যতম বিচ্যুতি 30০ হলে এর প্রতিসারঙ্ক কত?,['2.26' '3.21' '1.41' '5.25'],C
138ebd19-ffd7-4153-891d-713dc4b7c835-132542,4 kg ভরের একটি বস্তুকে 10ms-2 ত্বরণে গতিশীল করতে কত বল প্রয়োগ করতে হবে? (পথের ঘর্ষণ বল 2.5 Nkg-1),['60N' '70N' '50N' '80N'],C
1b1078ad-f450-4ef9-bc6d-9da968456127-95922,1 ইলেকট্রন ভোল্ট (1 eV) হলো—,['1.6 × 10-9 J ' '1.6 × 109 J' '1.6 × 10-19 J' '1.6 × 1019 J'],C
0e2f6ccd-f641-445a-b5ab-289d77d63c87-8055,"কোনো বস্তু 20m উচ্চতা থেকে বিনা বাঁধায় পড়লে, ভূমি হতে কত উচ্চতায় গতিশক্তি বিভবশক্তির তিনগুণ হবে?",['5 m' '10 m' '15 m' '20 m'],A
bf7437f4-c514-4501-9b58-8912551046a2-85489,তেজস্ক্রিয় মৌল থেকে একটি α কণা বের হলে ভরের পরিবর্তন কত?,['4 একক বাড়ে' '4 একক কমে' '2 একক বাড়ে' '2 একক কমে'],B
a0390c2e-5264-46b2-ab74-17260fa42c46-125949,20ms-1বেগে গতিশীল একটি বস্তুর বেগ 2ms-2 হারে হ্রাস পায় । থেমে যাওয়ার আগে বস্তুটি কত দূরত্ব অতিক্রম করবে?,['100 m' '150 m' '120 m' '135 m'],A
5d933c40-795e-487d-8ba3-e4a23ea3dc8f-126694,একটি রকেট √32c বেগে পৃথিবী থেকে রওনা দিয়েছে৷ পৃথিবীতে থাকা একজন মানুষের সময় অনুযায়ী রকেটের একটা ঘড়ির সেকেন্ডের কাটাঁ কতক্ষণে পুরো একবার ঘুরে আসবে?,['1/2 মিনিট' '4 মিনিট' '2 মিনিট' '3/2 মিনিট'],C
06b2f3de-758d-432b-992d-e28197f4ec7c-96370,"তিনটি ভেক্টর ā, b̄ ও c̄, যাদের মান যথাক্রমে 4, 3 এবং 5 যােগ করলে শূন্য হয় অর্থাৎ ā + b̄ + c̄ = 0। তাহলে |c̄ × (ā x b̄)| এর মান হলাে-",['12' '60' '25' '15'],B
3224c732-2ac7-405d-a3ef-759e74e04ce4-29496,1 atm সমান কত N/m² ?,['1' '~1.014 × 10⁵' '1.013548 × 10-5' '1013548'],B
3f667603-b746-4d35-8efb-4c45a56e717c-89330,"240 Hz, 350 Hz, 450 Hz, 550 Hz, 650 Hz, 750 Hz ........এই ছয়টি সুরের সমন্বয়ে একটি সুরযুক্ত শব্দ উৎপন্ন হলে নিচের কোন কম্পাংকের সুরটি মুল সুরের অষ্টক?",['400 Hz' '550 Hz' '450 Hz' '500 Hz'],D
b7365ec6-2db4-4406-97a1-2e0785c97b32-82608,√μ0ε0μ0ε0 এর মাত্রা কত ?,['[LT-1]' '[L-1T]' '[LT-2]' '[L2T-1]'],B
